id,kode_pohon,nama_latin,nama_lokal,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
51,MD0060,Macaranga hypoleuca,Mahang,Pohon Muda,icon/young_tree.svg,-,30,22,Hutan Desa Muara Dua,gambut,-,1.0408443,101.9893109,71.71015544,0.04,-,-,-,Indra Bakti Hamid,2021-09-21 14:04:00.000+07:00," Rp50,000 ",711.56,-,Chave (2005),media/MD51.jpg,media/1632208075876.jpg,media/1632208099783.jpg,media/1632208155059.jpg,adopsipohonriau/51
52,MD0079,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,25,20,Hutan Desa Muara Dua,gambut,-,1.0372667,101.9900785,20.67341173,0.05,-,-,-,Margono,2021-09-21 15:51:00.000+07:00," Rp50,000 ",935.05,-,Chave (2005),media/MD52.jpg,media/1632200903519.jpg,media/1632200916968.jpg,media/1632200934881.jpg,adopsipohonriau/52
53,MD0085,Shorea sp.,Meranti Batu,Pohon Muda,icon/young_tree.svg,-,19,18,Hutan Desa Muara Dua,gambut,-,1.0372337,101.9900564,24.1437608,0.05,-,-,-,Margono,2021-09-21 15:57:00.000+07:00," Rp50,000 ",498.85,-,Chave (2005),media/MD53.jpg,media/1632201357785.jpg,media/1632201375992.jpg,media/1632201477519.jpg,adopsipohonriau/53
55,MD0089,Durio sp.,Durian,Pohon Muda,icon/young_tree.svg,-,20,19,Hutan Desa Muara Dua,gambut,-,1.0373223,101.9900704,18.75396496,0.05,-,-,-,Margono,2021-09-21 16:10:00.000+07:00," Rp50,000 ",505.43,-,Chave (2005),media/MD55.jpg,media/1632208318322.jpg,media/1632208360849.jpg,media/1632208411417.jpg,adopsipohonriau/55
57,MD0037,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,17,20,Hutan Desa Muara Dua,gambut,-,1.0401006,101.9890328,46.64254318,0.05,-,-,-,Margono,2021-09-21 11:09:00.000+07:00," Rp50,000 ",440.44,-,Chave (2005),media/MD57.jpg,media/1632207804437.jpg,media/1632207815786.jpg,media/1632207835136.jpg,adopsipohonriau/57
58,MD0076,Nephelium lappaceum,Rambutan,Pohon Muda,icon/young_tree.svg,Least Concern,12,9,Hutan Desa Muara Dua,gambut,-,1.0372563,101.9903452,-0.862962765,0.05,-,-,-,Margono,2021-09-21 15:14:00.000+07:00," Rp50,000 ",125.03,-,Chave (2005),media/MD58.jpg,media/1632214167459.jpg,media/1632214182771.jpg,media/1632214271196.jpg,adopsipohonriau/58
59,MD0038,Diospyros siamang,Arang Arang,Pohon Muda,icon/young_tree.svg,-,11,15,Hutan Desa Muara Dua,gambut,-,1.0404773,101.9890431,48.41258503,0.05,-,-,-,Margono,2021-09-21 11:18:00.000+07:00," Rp50,000 ",138.12,-,Chave (2005),media/MD59.jpg,media/1632214621537.jpg,media/1632214642366.jpg,media/1632214658144.jpg,adopsipohonriau/59
60,MD0039,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,13,10,Hutan Desa Muara Dua,gambut,-,1.040042,101.9891553,4.801384277,0.05,-,-,-,Margono,2021-09-21 11:25:00.000+07:00," Rp50,000 ",132.64,-,Chave (2005),media/MD60.jpg,media/1632208715871.jpg,media/1632208749729.jpg,media/1632208790907.jpg,adopsipohonriau/60
61,MD0040,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,19,20,Hutan Desa Muara Dua,gambut,-,1.0403574,101.9891424,4.262369319,0.05,-,-,-,Margono,2021-09-21 11:30:00.000+07:00," Rp50,000 ",547.24,-,Chave (2005),media/MD61.jpg,media/1632215356757.jpg,media/1632215379483.jpg,media/1632215406176.jpg,adopsipohonriau/61
62,MD0075,Durio sp.,Durian,Pohon Muda,icon/young_tree.svg,-,18,10,Hutan Desa Muara Dua,gambut,-,1.0372506,101.990383,-0.74310124,0.05,-,-,-,Margono,2021-09-21 15:17:00.000+07:00," Rp50,000 ",260.07,-,Chave (2005),media/MD62.jpg,media/1632208960750.jpg,media/1632208978662.jpg,media/1632209026396.jpg,adopsipohonriau/62
63,MD0041,Nephelium lappaceum,Rambutan,Pohon Muda,icon/young_tree.svg,Least Concern,25,30,Hutan Desa Muara Dua,gambut,-,1.0403833,101.9890245,4.439124214,0.05,-,-,-,Margono,2021-09-21 11:35:00.000+07:00," Rp50,000 ",1696.59,-,Chave (2005),media/MD63.jpg,media/1632197340030.jpg,media/1632197360668.jpg,media/1632197379093.jpg,adopsipohonriau/63
64,MD0042,Shorea sp.,Meranti Batu,Pohon Muda,icon/young_tree.svg,-,21,17,Hutan Desa Muara Dua,gambut,-,1.0404533,101.9890879,51.2599758,0.05,-,-,-,Margono,2021-09-21 11:41:00.000+07:00," Rp50,000 ",573.58,-,Chave (2005),media/MD64.jpg,media/1632211982879.jpg,media/1632212000696.jpg,media/1632212031575.jpg,adopsipohonriau/64
